Source,Target,Weight
1159,869,1
1625,1625,1
1627,246,1
1625,1625,1
1625,1625,1
595,246,1
2020,246,1
520,56,1
1625,1625,1
1625,1625,1
545,895,1
498,246,1
1625,1625,1
1625,1625,1
850,246,1
498,246,1
1272,895,1
1745,246,1
1273,1810,1
520,246,1
1625,1625,1
1625,1625,1
498,246,1
850,869,1
1625,1625,1
1625,1625,1
1625,1625,1
645,246,1
1625,1625,1
1625,1625,1
1922,1288,1
1922,246,1
1922,1952,1
498,246,1
1596,246,1
1517,246,1
520,246,1
1,1669,1
1,1475,1
1669,313,1
1669,1669,1
1669,750,1
1669,1669,1
1669,1669,1
1669,1004,1
1669,1669,1
1669,1839,1
1,1669,1
1,1824,1
1669,1669,1
1669,585,1
1,1719,1
1,1669,1
1,1669,1
1,448,1
1669,1669,1
1669,1878,1
1,1669,1
1,1496,1
1669,1669,1
1669,630,1
1,1669,1
1,27,1
1,1669,1
1,1260,1
1669,1669,1
1669,1277,1
1669,1669,1
1669,1004,1
1,352,1
1,1669,1
1669,1669,1
1669,1734,1
1,1669,1
1,1448,1
1669,659,1
1669,1669,1
1669,1669,1
1669,1004,1
1669,1669,1
1669,120,1
1669,1669,1
1669,120,1
1,1669,1
1,1225,1
1,1669,1
1,1225,1
1669,1669,1
1669,1734,1
1669,1669,1
1669,1878,1
1,758,1
1,1669,1
1,1719,1
1,1669,1
1669,1120,1
1669,1669,1
1669,1669,1
1669,278,1
1,1669,1
1,612,1
1,1669,1
1,1969,1
1669,1669,1
1669,1586,1
1,352,1
1,1669,1
1,1669,1
1,1969,1
1,1669,1
1,1985,1
1669,1669,1
1669,1806,1
1,1719,1
1,1669,1
1669,1669,1
1669,1550,1
1,352,1
1,1669,1
